['i m .', 'ik ben jaar .']
['i m tom .', 'ik ben tom .']
['i m fat .', 'ik ben dik .']
['i m ill .', 'ik ben ziek .']
['i m sad .', 'ik ben bedroefd .']
['i am fat .', 'ik ben dik .']
['i m back .', 'ik ben weer thuis .']
['i m busy .', 'ik ben bezig .']
['i m free !', 'ik ben vrij !']
['i m free .', 'ik ben vrij .']
['i m here .', 'ik ben hier .']
['i m home .', 'ik ben thuis .']
['i m lost .', 'ik ben de weg kwijt .']
['i m sick .', 'ik ben ziek .']
['i m tall .', 'ik ben lang .']
['i m weak .', 'ik ben zwak .']
['he is ill .', 'hij is ziek .']
['he is old .', 'hij is oud .']
['he s a dj .', 'hij is een dj .']
['he s lazy .', 'hij is lui .']
['he s rich .', 'hij is rijk .']
['i am busy .', 'ik ben bezig .']
['i am here .', 'ik ben hier .']
['i am lazy .', 'ik ben lui .']
['i am lost .', 'ik ben verloren .']
['i am sick .', 'ik ben ziek .']
['i am sure .', 'ik weet het zeker .']
['i am tall .', 'ik ben lang .']
['i am weak .', 'ik ben zwak .']
['i m a cop .', 'ik ben een flik .']
['i m awake .', 'ik ben wakker .']
['i m bored .', 'ik verveel me .']
['i m broke .', 'ik ben blut .']
['i m happy .', 'ik ben gelukkig .']
['i m ready .', 'ik ben klaar .']
['i m right .', 'ik heb gelijk .']
['i m smart .', 'ik ben slim .']
['i m sorry .', 'excuseer .']
['i m sorry .', 'sorry . . .']
['i m sorry .', 'het spijt me .']
['i m tired .', 'ik ben moe .']
['i m young .', 'ik ben jong .']
['we re hot .', 'we hebben het heet .']
['he is a dj .', 'hij is een dj .']
['he is here !', 'hij is hier !']
['he is kind .', 'hij is vriendelijk .']
['he is lazy .', 'hij is lui .']
['he is nice .', 'hij is vriendelijk .']
['he is sick .', 'hij is ziek .']
['he s drunk .', 'hij is dronken .']
['i am a boy .', 'ik ben een jongen .']
['i am a man .', 'ik ben een man .']
['i am happy .', 'ik ben gelukkig .']
['i am ready .', 'ik ben klaar .']
['i am right .', 'ik heb gelijk .']
['i am smart .', 'ik ben slim .']
['i am tired .', 'ik ben moe .']
['i am young .', 'ik ben jong .']
['i m a hero .', 'ik ben een held .']
['i m afraid .', 'ik ben bang .']
['i m coming .', 'ik kom .']
['i m hungry !', 'ik heb honger .']
['i m hungry .', 'ik heb honger .']
['i m scared .', 'ik ben bang .']
['i m sleepy !', 'ik ben moe .']
['i m sleepy !', 'ik ben slaperig !']
['i m sleepy !', 'ik heb slaap !']
['i m so fat .', 'ik ben zo dik .']
['she is old .', 'ze is oud .']
['she smiled .', 'ze lachte .']
['she s nice .', 'ze is vriendelijk .']
['we are men .', 'we zijn mannen .']
['we re even .', 'wij zijn quitte .']
['we re free !', 'we zijn vrij !']
['we re weak .', 'wij zijn zwak .']
['he is drunk .', 'hij is dronken .']
['he is eight .', 'hij is acht .']
['he is happy .', 'hij is gelukkig .']
['he is nasty .', 'hij is vies .']
['he is smart .', 'hij is slim .']
['he s a nerd .', 'hij is een nerd .']
['he s not in .', 'hij is niet binnen .']
['he s strong .', 'hij is sterk .']
['i am a monk .', 'ik ben een monnik .']
['i am afraid .', 'ik ben bang .']
['i am hungry .', 'ik heb honger .']
['i am online .', 'ik ben online .']
['i am online .', 'ik ben verbonden .']
['i m finnish .', 'ik ben fins .']
['i m turkish .', 'ik ben turkse .']
['i m turkish .', 'ik ben turk .']
['i m a baker .', 'ik ben een bakker .']
['i m a loser .', 'ik ben een mislukkeling .']
['i m at home .', 'ik ben thuis .']
['i m certain .', 'ik weet het zeker .']
['i m curious .', 'ik ben nieuwsgierig .']
['i m furious .', 'ik ben woedend .']
['i m healthy .', 'ik ben gezond .']
['i m jealous .', 'ik ben jaloers .']
['i m kidding .', 'ik maak maar een grapje .']
['i m leaving .', 'ik stap op .']
['i m married .', 'ik ben getrouwd .']
['i m married .', 'ik ben gehuwd .']
['i m not fat .', 'ik ben niet dik .']
['i m not old .', 'ik ben niet oud .']
['i m patient .', 'ik ben geduldig .']
['i m reading .', 'ik lees .']
['i m starved .', 'ik ben uitgehongerd .']
['i m starved .', 'ik rammel van de honger .']
['i m stuffed !', 'ik zit vol !']
['i m talking .', 'ik ben aan het praten .']
['i m thirsty .', 'ik heb dorst .']
['i m thirsty .', 'ik wil drinken .']
['she is dead .', 'zij is dood .']
['she is dead .', 'ze is dood .']
['she is kind .', 'ze is vriendelijk .']
['she s happy .', 'zij is gelukkig .']
['we are boys .', 'we zijn jongens .']
['we are even .', 'wij zijn quitte .']
['we are free !', 'we zijn beschikbaar !']
['we are free !', 'we zijn vrij !']
['we are late .', 'we zijn laat .']
['we re dying .', 'we gaan dood .']
['we re dying .', 'wij zijn stervende .']
['we re going .', 'we gaan ervandoor .']
['we re happy .', 'we zijn gelukkig .']
['we re young .', 'wij zijn jong .']
